year_global,avg_temp_global,7-Years-AVG,10-Years-AVG,Sparlines,,,,,,,,,
1941,8.77,8.70,8.66,,,,,,,,,,
1942,8.73,8.73,8.66,,,,,,,,,,
1943,8.76,8.76,8.70,,,,,,,,,,
1944,8.85,8.78,8.73,,,,,,,,,,
1945,8.58,8.74,8.73,,,,,,,,,,
1946,8.68,8.73,8.75,,,,,,,,,,
1947,8.80,8.74,8.76,,,,,,,,,,
1948,8.75,8.74,8.74,,,,,,,,,,
1949,8.59,8.72,8.73,,,,,,,,,,
1950,8.37,8.66,8.69,,,,,,,,,,
1951,8.63,8.63,8.67,,,,,,,,,,
1952,8.64,8.64,8.67,,,,,,,,,,
1953,8.87,8.66,8.68,,,,,,,,,,
1954,8.56,8.63,8.65,,,,,,,,,,
1955,8.63,8.61,8.65,,,,,,,,,,
1956,8.28,8.57,8.61,,,,,,,,,,
1957,8.73,8.62,8.61,,,,,,,,,,
1958,8.77,8.64,8.61,,,,,,,,,,
1959,8.73,8.65,8.62,,,,,,,,,,
1960,8.58,8.61,8.64,,,,,,,,,,
1961,8.80,8.65,8.66,,,,,,,,,,
1962,8.75,8.66,8.67,,,,,,,,,,
1963,8.86,8.75,8.67,,,,,,,,,,
1964,8.41,8.70,8.65,,,,,,,,,,
1965,8.53,8.67,8.64,,,,,,,,,,
1966,8.60,8.65,8.68,,,,,,,,,,
1967,8.70,8.66,8.67,,,,,,,,,,
1968,8.52,8.62,8.65,,,,,,,,,,
1969,8.60,8.60,8.64,,,,,,,,,,
1970,8.70,8.58,8.65,,,,,,,,,,
1971,8.60,8.61,8.63,,,,,,,,,,
1972,8.50,8.60,8.60,,,,,,,,,,
1973,8.95,8.65,8.61,,,,,,,,,,
1974,8.47,8.62,8.62,,,,,,,,,,
1975,8.74,8.65,8.64,,,,,,,,,,
1976,8.35,8.62,8.61,,,,,,,,,,
1977,8.85,8.64,8.63,,,,,,,,,,
1978,8.69,8.65,8.65,,,,,,,,,,
1979,8.73,8.68,8.66,,,,,,,,,,
1980,8.98,8.69,8.69,,,,,,,,,,
1981,9.17,8.79,8.74,,,,,,,,,,
1982,8.64,8.77,8.76,,,,,,,,,,
1983,9.03,8.87,8.77,,,,,,,,,,
1984,8.69,8.85,8.79,,,,,,,,,,
1985,8.66,8.84,8.78,,,,,,,,,,
1986,8.83,8.86,8.83,,,,,,,,,,
1987,8.99,8.86,8.84,,,,,,,,,,
1988,9.20,8.86,8.89,,,,,,,,,,
1989,8.92,8.90,8.91,,,,,,,,,,
1990,9.23,8.93,8.94,,,,,,,,,,
1991,9.18,9.00,8.94,,,,,,,,,,
1992,8.84,9.03,8.96,,,,,,,,,,
1993,8.87,9.03,8.94,,,,,,,,,,
1994,9.04,9.04,8.98,,,,,,,,,,
1995,9.35,9.06,9.05,,,,,,,,,,
1996,9.04,9.08,9.07,,,,,,,,,,
1997,9.20,9.07,9.09,,,,,,,,,,
1998,9.52,9.12,9.12,,,,,,,,,,
1999,9.29,9.19,9.16,,,,,,,,,,
2000,9.20,9.23,9.15,,,,,,,,,,
2001,9.41,9.29,9.18,,,,,,,,,,
2002,9.57,9.32,9.25,,,,,,,,,,
2003,9.53,9.39,9.32,,,,,,,,,,
2004,9.32,9.41,9.34,,,,,,,,,,
2005,9.70,9.43,9.38,,,,,,,,,,
2006,9.53,9.47,9.43,,,,,,,,,,
2007,9.73,9.54,9.48,,,,,,,,,,
2008,9.43,9.54,9.47,,,,,,,,,,
2009,9.51,9.54,9.49,,,,,,,,,,
2010,9.70,9.56,9.54,,,,,,,,,,
2011,9.52,9.59,9.55,,,,,,,,,,
2012,9.51,9.56,9.55,,,,,,,,,,
2013,9.61,9.57,9.56,,,,,,,,,,
2014,9.57,9.55,9.58,,,,,,,,,,
2015,9.83,9.61,9.59,,,,,,,,,,
